first,last,email,description
Anderson,Cooper,mpcrds+12@gmail.com,Registered Account - Existing ACH donor for automation use US1390
Lisa,Strauss,mpcrds+15@gmail.com,Registered Account - Existing ACH donor for manual testing
Phillip,Fry,mpcrds+32@gmail.com,Registered Account - This is a user that has ACH saved as payment data in stripe and should not change to credit card. 
Gary,Gentry,mpcrds+16@gmail.com,Existing CC donor for manual testing
CorkboardAdmin,CorkboardAdmin,mpcrds+cbadmin@gmail.com,Corkboard Admin account
Denise,Kendricks,mpcrds+20@gmail.com,ACH account for automation. Started as guest give account
Rich,Theil-Test,rtheil+testing@crossroads.net,Rich's test account
Wife,Theil-Test,rtheil+wife@crossroads.net,Rich's test wife
Kid14,Theil-Test,rtheil+kid14@crossroads.net,Rich's test 14yr old
Kid17,Theil-Test,rtheil+kid17@crossroads.net,Rich's Test 17yr old
Dad,KidsClubAppFam,kidsclubdad@gmail.com,Kids Club App family Dad
Mom,KidsClubAppFam,kidsclubmom@gmail.com,Kids Club App family Mom
KidsClubKid14,KidsClubAppFam,kidsclubkid14@gmail.com,Kids club app family 14yr old
KidsClubKid17,KidsClubAppFam,kidsclubkid17@gmail.com,Kids club app family 17yr old
Cloud,Strife,mpcrds+cloudstrife@gmail.com,Trip and Giving History Family
Tifa,Lockhart,mpcrds+tifalockhart@gmail.com,Trip and Giving History Family
Marlene,Wallace,mpcrds+marlenewallace@gmail.com,Trip and Giving History Family
Kathryn,Cradduck-Test,kcradduck+testing@crossroads.net,Kathryn's test account
Husband,Cradduck-Test,kcradduck+husband@crossroads.net,Kathryn's test husband
Kid14,Cradduck-Test,kcradduck+kid14@crossroads.net,Kathryn's test 14yr old
Kid17,Cradduck-Test,kcradduck+kid17@crossroads.net,Kathryn's Test 17yr old
Ron,Howard,mpcrds+8@gmail.com,Automation user for CG
Phoebe,Cates,mpcrds+6@gmail.com,Automation user for CG
husband,ECheckIn,mpcrds+echeckinhus@gmail.com,Echeckin ETL
wife,ECheckIn,mpcrds+echeckinwif@gmail.com,ECheckin ETL
Richard,Tremplay,mpcrds+tremplay.richard@gmail.com,Duplicate of Peter Parker Family
Mary,Tremplay,mpcrds+tremplay.mary@gmail.com,Duplicate of Peter Parker Family
